작품id,작품id 링크,작품 제목,작가id,저자,ISNI,연도,링크,선정 이유 or 참고 자료,민족문화대백과사전 링크,민족문화대백과사전 id
Q12625116,https://www.wikidata.org/wiki/Q12625116,혈의 누,https://www.wikidata.org/wiki/Q624419,이인직,0000 0000 2565 6613,1907,https://ko.wikisource.org/wiki/혈의_누,한국 최초의 신소설,,
없음,https://encykorea.aks.ac.kr/Article/E0056142 ,철세계,https://www.wikidata.org/wiki/Q12613093,이해조,0000 0000 8418 5313,1908,https://ko.wikisource.org/wiki/철세계,"한국 최초의 번안소설이자, 최초의 SF 장르소설. ",https://encykorea.aks.ac.kr/Article/E0056142,E0056142
Q85984516,https://www.wikidata.org/wiki/Special:EntityPage/Q85984516,자유종,https://www.wikidata.org/wiki/Q12613093,이해조,0000 0000 8418 5313,1910,https://ko.wikisource.org/wiki/자유종,"토론 형식을 갖는 신소설로, 한일 합병 이전의 작품.",https://encykorea.aks.ac.kr/Article/E0048036,E0048036
Q85989161,https://www.wikidata.org/wiki/Q85989161,화의 혈,https://www.wikidata.org/wiki/Q12613093,이해조,0000 0000 8418 5313,1911,https://ko.wikisource.org/wiki/화의_혈,한일 합병 이후에 쓰인 이해조의 신소설.,https://encykorea.aks.ac.kr/Article/E0064844,E0064844
없음,없음 ,추월색,https://www.wikidata.org/wiki/Special:EntityPage/Q12619876,최찬식,0000 0000 8427 8165,1912,https://ko.wikisource.org/wiki/추월색,근대 소설의 가교 역할을 하는 대중성이 뛰어난 소설,https://encykorea.aks.ac.kr/Article/E0057888,E0057888
Q16262292,https://www.wikidata.org/wiki/Special:EntityPage/Q16262292,장한몽,https://www.wikidata.org/wiki/Special:EntityPage/Q12617070,조중환,0000 0004 7762 8154,1913,https://ko.wikisource.org/wiki/장한몽/1장,1910년대의 번안소설 및 그 주변의 창작은 1910년 이후 1917년 무정이 등장하기까지의 문학사를 해명하는 데 있어 중요한 단서임. 특히 조중환의 번안소설들은 신소설의 한계를 극복할 수 있었던 작품으로 지목되고 있음.,https://encykorea.aks.ac.kr/Article/E0048879,E0048879
Q16262292,https://www.wikidata.org/wiki/Special:EntityPage/Q16262292,장한몽,https://www.wikidata.org/wiki/Special:EntityPage/Q12617070,조중환,0000 0004 7762 8154,1913,https://ko.wikisource.org/wiki/장한몽/2장,1910년대의 번안소설 및 그 주변의 창작은 1910년 이후 1917년 무정이 등장하기까지의 문학사를 해명하는 데 있어 중요한 단서임. 특히 조중환의 번안소설들은 신소설의 한계를 극복할 수 있었던 작품으로 지목되고 있음.,https://encykorea.aks.ac.kr/Article/E0048879,E0048879
Q16262292,https://www.wikidata.org/wiki/Special:EntityPage/Q16262292,장한몽,https://www.wikidata.org/wiki/Special:EntityPage/Q12617070,조중환,0000 0004 7762 8154,1913,https://ko.wikisource.org/wiki/장한몽/3장,1910년대의 번안소설 및 그 주변의 창작은 1910년 이후 1917년 무정이 등장하기까지의 문학사를 해명하는 데 있어 중요한 단서임. 특히 조중환의 번안소설들은 신소설의 한계를 극복할 수 있었던 작품으로 지목되고 있음.,https://encykorea.aks.ac.kr/Article/E0048879,E0048879
Q16262292,https://www.wikidata.org/wiki/Special:EntityPage/Q16262292,장한몽,https://www.wikidata.org/wiki/Special:EntityPage/Q12617070,조중환,0000 0004 7762 8154,1913,https://ko.wikisource.org/wiki/장한몽/4장,1910년대의 번안소설 및 그 주변의 창작은 1910년 이후 1917년 무정이 등장하기까지의 문학사를 해명하는 데 있어 중요한 단서임. 특히 조중환의 번안소설들은 신소설의 한계를 극복할 수 있었던 작품으로 지목되고 있음.,https://encykorea.aks.ac.kr/Article/E0048879,E0048879
Q16262292,https://www.wikidata.org/wiki/Special:EntityPage/Q16262292,장한몽,https://www.wikidata.org/wiki/Special:EntityPage/Q12617070,조중환,0000 0004 7762 8154,1913,https://ko.wikisource.org/wiki/장한몽/5장,1910년대의 번안소설 및 그 주변의 창작은 1910년 이후 1917년 무정이 등장하기까지의 문학사를 해명하는 데 있어 중요한 단서임. 특히 조중환의 번안소설들은 신소설의 한계를 극복할 수 있었던 작품으로 지목되고 있음.,https://encykorea.aks.ac.kr/Article/E0048879,E0048879
